"m_sp"	"m_sf"	"sf_treatment"	"treatment"	"time"	"subsample"	"replicate"	"APN"	"DPP4"	"NEP"	"tot_sperm"	"HA"	"VCL"	"LIN"	"ALH"	"n_dead_sperm"	"tot_sperm_viab"	"number_motile_cells_int"
"7"	"4"	"foreign"	"SF"	"30"	"a"	"1"	2.87	18.26	2.06	130	4	99.7	38.7	0.9	NA	NA	44
"7"	"4"	"foreign"	"SF"	"90"	"a"	"2"	2.87	18.26	2.06	120	0	56.4	31.8	0	996	4454	30
"7"	"4"	"foreign"	"SF"	"90"	"a"	"1"	2.87	18.26	2.06	87	0	57	37.7	0	982	4647	22
"5"	"5"	"own"	"SF"	"30"	"a"	"1"	3.34	12.18	1.87	NA	NA	NA	NA	NA	NA	NA	NA
"5"	"5"	"own"	"SF"	"30"	"a"	"2"	3.34	12.18	1.87	NA	NA	NA	NA	NA	NA	NA	NA
"5"	"5"	"own"	"SF"	"90"	"a"	"2"	3.34	12.18	1.87	109	3	83.1	46	1.1	662	3706	49
"5"	"5"	"own"	"SF"	"90"	"a"	"1"	3.34	12.18	1.87	116	1	87.4	48.5	1.3	619	3698	48
"6"	"5"	"foreign"	"SF"	"30"	"a"	"1"	3.34	12.18	1.87	118	0	86.4	38.9	0.8	NA	NA	38
"6"	"5"	"foreign"	"SF"	"30"	"a"	"2"	3.34	12.18	1.87	118	1	89.6	34.8	1.1	NA	NA	51
"6"	"5"	"foreign"	"SF"	"90"	"a"	"2"	3.34	12.18	1.87	155	0	72.3	37.5	0.5	799	4425	55
"6"	"5"	"foreign"	"SF"	"90"	"a"	"1"	3.34	12.18	1.87	89	0	73.5	35.9	1.3	876	5067	32
"1"	"5"	"foreign"	"SF"	"30"	"a"	"2"	3.34	12.18	1.87	131	1	77.3	58.8	1	NA	NA	72
"1"	"5"	"foreign"	"SF"	"30"	"a"	"1"	3.34	12.18	1.87	137	1	80.7	51.4	1.1	NA	NA	78
"1"	"5"	"foreign"	"SF"	"90"	"a"	"2"	3.34	12.18	1.87	82	0	65.9	46.1	1	708	3396	33
"1"	"5"	"foreign"	"SF"	"90"	"a"	"1"	3.34	12.18	1.87	119	0	66.9	43.6	1.1	598	3256	54
"8"	"5"	"foreign"	"SF"	"30"	"a"	"1"	3.34	12.18	1.87	84	0	71.6	43.7	1.3	NA	NA	17
"8"	"5"	"foreign"	"SF"	"30"	"a"	"2"	3.34	12.18	1.87	127	1	77.9	34.6	0	NA	NA	30
"8"	"5"	"foreign"	"SF"	"90"	"a"	"1"	3.34	12.18	1.87	102	0	58.8	35.1	0	1167	5184	15
"8"	"5"	"foreign"	"SF"	"90"	"a"	"2"	3.34	12.18	1.87	91	0	83.9	35.4	0	1197	5181	19
"2"	"5"	"foreign"	"SF"	"30"	"a"	"1"	3.34	12.18	1.87	137	2	66.3	33.5	0.6	NA	NA	40
"2"	"5"	"foreign"	"SF"	"30"	"a"	"2"	3.34	12.18	1.87	134	1	68.9	33.5	0	NA	NA	21
"2"	"5"	"foreign"	"SF"	"90"	"a"	"1"	3.34	12.18	1.87	97	0	62.7	33.3	0	1047	4408	16
"2"	"5"	"foreign"	"SF"	"90"	"a"	"2"	3.34	12.18	1.87	112	0	70.8	33	0.2	890	3566	12
"9"	"5"	"foreign"	"SF"	"30"	"a"	"1"	3.34	12.18	1.87	88	0	94.1	48.9	1.5	NA	NA	16
"9"	"5"	"foreign"	"SF"	"30"	"a"	"2"	3.34	12.18	1.87	122	6	105.2	46	1.7	NA	NA	47
"9"	"5"	"foreign"	"SF"	"90"	"a"	"2"	3.34	12.18	1.87	133	0	65.6	36.9	0.4	1041	4584	41
"9"	"5"	"foreign"	"SF"	"90"	"a"	"1"	3.34	12.18	1.87	97	0	74	36.3	1.6	1110	4665	30
"3"	"5"	"foreign"	"SF"	"30"	"a"	"1"	3.34	12.18	1.87	106	0	46.4	40.4	0.8	NA	NA	29
"3"	"5"	"foreign"	"SF"	"30"	"a"	"2"	3.34	12.18	1.87	134	0	57.4	43.6	1.1	NA	NA	23
"3"	"5"	"foreign"	"SF"	"90"	"a"	"1"	3.34	12.18	1.87	111	0	45	29	0	1528	5851	26
"3"	"5"	"foreign"	"SF"	"90"	"a"	"2"	3.34	12.18	1.87	137	0	52.1	34.6	0	1310	5688	32
"4"	"5"	"foreign"	"SF"	"30"	"a"	"2"	3.34	12.18	1.87	102	0	65.7	47.2	1	NA	NA	44
"4"	"5"	"foreign"	"SF"	"30"	"a"	"1"	3.34	12.18	1.87	161	1	72.7	44.2	1.1	NA	NA	85
"4"	"5"	"foreign"	"SF"	"90"	"a"	"2"	3.34	12.18	1.87	82	0	67.2	38	0	1139	4804	37
"4"	"5"	"foreign"	"SF"	"90"	"a"	"1"	3.34	12.18	1.87	166	0	70.6	39	0.4	1023	4566	66
"7"	"5"	"foreign"	"SF"	"30"	"a"	"1"	3.34	12.18	1.87	117	0	75.8	42	0.3	NA	NA	37
"7"	"5"	"foreign"	"SF"	"30"	"a"	"2"	3.34	12.18	1.87	146	0	87.2	40.1	0.7	NA	NA	33
"7"	"5"	"foreign"	"SF"	"90"	"a"	"2"	3.34	12.18	1.87	72	1	56	37	0	963	3829	15
"7"	"5"	"foreign"	"SF"	"90"	"a"	"1"	3.34	12.18	1.87	131	0	70.3	32.6	0	1131	4284	36
"5"	"6"	"foreign"	"SF"	"30"	"a"	"1"	4.48	14.18	3.5	NA	NA	NA	NA	NA	NA	NA	NA
"5"	"6"	"foreign"	"SF"	"30"	"a"	"2"	4.48	14.18	3.5	NA	NA	NA	NA	NA	NA	NA	NA
"5"	"6"	"foreign"	"SF"	"90"	"a"	"1"	4.48	14.18	3.5	114	3	91.4	46.8	1.4	633	3270	55
"5"	"6"	"foreign"	"SF"	"90"	"a"	"2"	4.48	14.18	3.5	108	2	95.2	47.7	1.4	639	3876	52
"6"	"6"	"own"	"SF"	"30"	"a"	"2"	4.48	14.18	3.5	155	8	101.7	35.5	1.4	NA	NA	73
"6"	"6"	"own"	"SF"	"30"	"a"	"1"	4.48	14.18	3.5	95	10	104.3	35.7	1.6	NA	NA	45
"6"	"6"	"own"	"SF"	"90"	"a"	"2"	4.48	14.18	3.5	111	3	92.3	34.9	1.1	767	4589	51
"6"	"6"	"own"	"SF"	"90"	"a"	"1"	4.48	14.18	3.5	112	2	103.3	31.6	0.7	781	4602	46
"7"	"6"	"foreign"	"SF"	"30"	"a"	"1"	4.48	14.18	3.5	130	2	84.2	39.5	1.1	NA	NA	49
"7"	"6"	"foreign"	"SF"	"30"	"a"	"2"	4.48	14.18	3.5	80	0	87.9	39.2	0.7	NA	NA	23
"7"	"6"	"foreign"	"SF"	"90"	"a"	"2"	4.48	14.18	3.5	100	0	55.6	39.9	0.3	1070	3564	26
"7"	"6"	"foreign"	"SF"	"90"	"a"	"1"	4.48	14.18	3.5	130	0	60.2	32.9	0	984	3955	35
"8"	"6"	"foreign"	"SF"	"30"	"a"	"1"	4.48	14.18	3.5	94	2	79.7	31.9	1	NA	NA	22
"8"	"6"	"foreign"	"SF"	"30"	"a"	"2"	4.48	14.18	3.5	125	5	94.9	35.7	0.9	NA	NA	39
"8"	"6"	"foreign"	"SF"	"90"	"a"	"1"	4.48	14.18	3.5	91	0	55.5	29.1	0	1105	5055	11
"8"	"6"	"foreign"	"SF"	"90"	"a"	"2"	4.48	14.18	3.5	109	1	72.7	36.7	0.8	1212	5462	24
"2"	"6"	"foreign"	"SF"	"30"	"a"	"1"	4.48	14.18	3.5	149	0	82.2	36	1.5	NA	NA	29
"2"	"6"	"foreign"	"SF"	"30"	"a"	"2"	4.48	14.18	3.5	132	2	88.1	37.9	1.4	NA	NA	24
"2"	"6"	"foreign"	"SF"	"90"	"a"	"2"	4.48	14.18	3.5	142	0	57	35.7	0.5	978	3822	23
"2"	"6"	"foreign"	"SF"	"90"	"a"	"1"	4.48	14.18	3.5	99	0	61.2	30.4	0	896	3876	20
"9"	"6"	"foreign"	"SF"	"30"	"a"	"1"	4.48	14.18	3.5	118	4	107.5	47.1	1.8	NA	NA	54
"9"	"6"	"foreign"	"SF"	"30"	"a"	"2"	4.48	14.18	3.5	70	3	111.3	47.2	1.9	NA	NA	34
"9"	"6"	"foreign"	"SF"	"90"	"a"	"1"	4.48	14.18	3.5	118	0	84	38.4	0.4	1166	4444	15
"9"	"6"	"foreign"	"SF"	"90"	"a"	"2"	4.48	14.18	3.5	101	1	93.2	40.6	1.5	1265	4480	24
"3"	"6"	"foreign"	"SF"	"30"	"a"	"1"	4.48	14.18	3.5	144	1	53.3	32.3	1.4	NA	NA	38
"3"	"6"	"foreign"	"SF"	"30"	"a"	"2"	4.48	14.18	3.5	79	0	59.7	41.4	0.5	NA	NA	17
"3"	"6"	"foreign"	"SF"	"90"	"a"	"1"	4.48	14.18	3.5	130	0	47.7	39.5	0.5	1600	5785	20
"3"	"6"	"foreign"	"SF"	"90"	"a"	"2"	4.48	14.18	3.5	97	0	49.1	38.8	0	1245	5243	18
"4"	"6"	"foreign"	"SF"	"30"	"a"	"2"	4.48	14.18	3.5	107	9	91.7	43.4	1.4	NA	NA	52
"4"	"6"	"foreign"	"SF"	"30"	"a"	"1"	4.48	14.18	3.5	159	4	94.6	42.6	1.3	NA	NA	96
"4"	"6"	"foreign"	"SF"	"90"	"a"	"1"	4.48	14.18	3.5	132	4	92.8	47.4	1.5	1079	4544	69
"4"	"6"	"foreign"	"SF"	"90"	"a"	"2"	4.48	14.18	3.5	127	3	99.7	41.1	1.2	1303	5237	58
"1"	"6"	"foreign"	"SF"	"30"	"a"	"1"	4.48	14.18	3.5	123	1	69	33.5	0.3	NA	NA	31
"1"	"6"	"foreign"	"SF"	"30"	"a"	"2"	4.48	14.18	3.5	95	0	69.2	22.9	0	NA	NA	11
"1"	"6"	"foreign"	"SF"	"90"	"a"	"1"	4.48	14.18	3.5	162	0	10.9	21.7	0	958	3331	2
"1"	"6"	"foreign"	"SF"	"90"	"a"	"2"	4.48	14.18	3.5	112	0	20.8	15.3	0	1088	3451	1
"5"	"7"	"foreign"	"SF"	"30"	"a"	"1"	9.19	12	2.99	NA	NA	NA	NA	NA	NA	NA	NA
"5"	"7"	"foreign"	"SF"	"30"	"a"	"2"	9.19	12	2.99	NA	NA	NA	NA	NA	NA	NA	NA
"5"	"7"	"foreign"	"SF"	"90"	"a"	"1"	9.19	12	2.99	133	2	85.4	45.1	1.3	667	2802	58
"5"	"7"	"foreign"	"SF"	"90"	"a"	"2"	9.19	12	2.99	111	2	94.5	47.1	1.3	745	3162	47
"6"	"7"	"foreign"	"SF"	"30"	"a"	"2"	9.19	12	2.99	164	4	92.9	34.4	1.3	NA	NA	66
"6"	"7"	"foreign"	"SF"	"30"	"a"	"1"	9.19	12	2.99	113	4	94.5	33.2	0	NA	NA	46
"6"	"7"	"foreign"	"SF"	"90"	"a"	"2"	9.19	12	2.99	179	0	87.7	36.6	0.5	1079	4704	71
"6"	"7"	"foreign"	"SF"	"90"	"a"	"1"	9.19	12	2.99	105	1	93.4	36.1	0	796	4422	38
"7"	"7"	"own"	"SF"	"30"	"a"	"2"	9.19	12	2.99	114	1	76.9	38.3	0.3	NA	NA	41
"7"	"7"	"own"	"SF"	"30"	"a"	"1"	9.19	12	2.99	151	0	86.4	37.3	0.5	NA	NA	45
"7"	"7"	"own"	"SF"	"90"	"a"	"1"	9.19	12	2.99	137	0	60.5	33.9	0	1060	3448	44
"7"	"7"	"own"	"SF"	"90"	"a"	"2"	9.19	12	2.99	141	0	63.9	31.2	0	952	2921	26
"8"	"7"	"foreign"	"SF"	"30"	"a"	"1"	9.19	12	2.99	129	0	81.4	42.4	1.5	NA	NA	35
"8"	"7"	"foreign"	"SF"	"30"	"a"	"2"	9.19	12	2.99	111	2	89	37.8	0.6	NA	NA	30
"8"	"7"	"foreign"	"SF"	"90"	"a"	"2"	9.19	12	2.99	141	0	63.9	28.8	0	1274	3994	31
"8"	"7"	"foreign"	"SF"	"90"	"a"	"1"	9.19	12	2.99	97	0	66.8	36.3	0.5	1262	4619	23
"2"	"7"	"foreign"	"SF"	"30"	"a"	"1"	9.19	12	2.99	150	0	74.1	37.8	0	NA	NA	28
"2"	"7"	"foreign"	"SF"	"30"	"a"	"2"	9.19	12	2.99	139	0	93.2	38.7	0.6	NA	NA	20
"2"	"7"	"foreign"	"SF"	"90"	"a"	"1"	9.19	12	2.99	143	0	62.1	30.7	0	1221	4466	17
"2"	"7"	"foreign"	"SF"	"90"	"a"	"2"	9.19	12	2.99	87	0	71.3	37.5	0	1660	4987	14
"9"	"7"	"foreign"	"SF"	"30"	"a"	"1"	9.19	12	2.99	NA	NA	NA	NA	NA	NA	NA	NA
"9"	"7"	"foreign"	"SF"	"30"	"a"	"2"	9.19	12	2.99	NA	NA	NA	NA	NA	NA	NA	NA
"9"	"7"	"foreign"	"SF"	"90"	"a"	"2"	9.19	12	2.99	153	0	78.4	38.2	0.7	1082	4088	32
"9"	"7"	"foreign"	"SF"	"90"	"a"	"1"	9.19	12	2.99	101	0	79.3	38	1.3	1083	4340	32
"3"	"7"	"foreign"	"SF"	"30"	"a"	"1"	9.19	12	2.99	132	0	48.5	42	1.1	NA	NA	20
"3"	"7"	"foreign"	"SF"	"30"	"a"	"2"	9.19	12	2.99	136	0	62.4	41.8	1.4	NA	NA	38
"3"	"7"	"foreign"	"SF"	"90"	"a"	"1"	9.19	12	2.99	149	0	38	34.5	0	1371	4949	26
"3"	"7"	"foreign"	"SF"	"90"	"a"	"2"	9.19	12	2.99	114	0	44.8	34.4	0	1465	4892	27
"4"	"7"	"foreign"	"SF"	"30"	"a"	"2"	9.19	12	2.99	132	1	83.7	42.9	1.2	NA	NA	55
"4"	"7"	"foreign"	"SF"	"30"	"a"	"1"	9.19	12	2.99	177	2	88.2	50.8	1.2	NA	NA	86
"4"	"7"	"foreign"	"SF"	"90"	"a"	"2"	9.19	12	2.99	157	0	77.8	42	0.7	1184	4303	69
"4"	"7"	"foreign"	"SF"	"90"	"a"	"1"	9.19	12	2.99	128	0	84.7	44	0.9	1168	4525	50
"1"	"7"	"foreign"	"SF"	"30"	"a"	"1"	9.19	12	2.99	164	1	75.3	51	1.1	NA	NA	91
"1"	"7"	"foreign"	"SF"	"30"	"a"	"2"	9.19	12	2.99	115	1	76.9	52.2	1.1	NA	NA	71
"1"	"7"	"foreign"	"SF"	"90"	"a"	"2"	9.19	12	2.99	150	0	54.8	33.1	0.9	816	3791	41
"1"	"7"	"foreign"	"SF"	"90"	"a"	"1"	9.19	12	2.99	124	0	69.3	41.2	1	775	3651	42
"5"	"8"	"foreign"	"SF"	"30"	"a"	"1"	2.38	6.46	1.2	NA	NA	NA	NA	NA	NA	NA	NA
"5"	"8"	"foreign"	"SF"	"30"	"a"	"2"	2.38	6.46	1.2	NA	NA	NA	NA	NA	NA	NA	NA
"5"	"8"	"foreign"	"SF"	"90"	"a"	"1"	2.38	6.46	1.2	103	0	78.2	41.6	1.2	648	3005	51
"5"	"8"	"foreign"	"SF"	"90"	"a"	"2"	2.38	6.46	1.2	142	0	81.1	51.4	1	663	3294	79
"6"	"8"	"foreign"	"SF"	"30"	"a"	"2"	2.38	6.46	1.2	141	0	67.4	43.6	1.2	NA	NA	56
"6"	"8"	"foreign"	"SF"	"30"	"a"	"1"	2.38	6.46	1.2	118	0	79.4	44.1	1.1	NA	NA	44
"6"	"8"	"foreign"	"SF"	"90"	"a"	"2"	2.38	6.46	1.2	133	0	70.2	36.5	1	788	3820	57
"6"	"8"	"foreign"	"SF"	"90"	"a"	"1"	2.38	6.46	1.2	108	0	74.2	35.8	1.1	764	4148	47
"7"	"8"	"foreign"	"SF"	"30"	"a"	"2"	2.38	6.46	1.2	128	0	62.7	34.5	0	NA	NA	28
"7"	"8"	"foreign"	"SF"	"30"	"a"	"1"	2.38	6.46	1.2	136	0	78.1	39.8	0.6	NA	NA	36
"7"	"8"	"foreign"	"SF"	"90"	"a"	"1"	2.38	6.46	1.2	108	0	50.9	36.4	0	959	3416	32
"7"	"8"	"foreign"	"SF"	"90"	"a"	"2"	2.38	6.46	1.2	155	0	56.3	36.9	0.2	1152	3494	34
"1"	"8"	"foreign"	"SF"	"30"	"a"	"2"	2.38	6.46	1.2	116	0	75.4	56.8	1	NA	NA	53
"1"	"8"	"foreign"	"SF"	"30"	"a"	"1"	2.38	6.46	1.2	140	1	76.9	51.6	1.1	NA	NA	68
"1"	"8"	"foreign"	"SF"	"90"	"a"	"1"	2.38	6.46	1.2	136	0	59.5	47.9	0.9	750	3893	74
"1"	"8"	"foreign"	"SF"	"90"	"a"	"2"	2.38	6.46	1.2	125	0	59.8	48.8	0.6	783	4101	49
"2"	"8"	"foreign"	"SF"	"30"	"a"	"1"	2.38	6.46	1.2	134	1	69.5	35.8	0.8	NA	NA	31
"2"	"8"	"foreign"	"SF"	"30"	"a"	"2"	2.38	6.46	1.2	135	0	73.4	36.5	0.4	NA	NA	23
"2"	"8"	"foreign"	"SF"	"90"	"a"	"2"	2.38	6.46	1.2	110	0	51.9	35	0	1198	4040	23
"2"	"8"	"foreign"	"SF"	"90"	"a"	"1"	2.38	6.46	1.2	131	0	56.4	33.8	0	1008	3715	22
"9"	"8"	"foreign"	"SF"	"30"	"a"	"1"	2.38	6.46	1.2	NA	NA	NA	NA	NA	NA	NA	NA
"9"	"8"	"foreign"	"SF"	"30"	"a"	"2"	2.38	6.46	1.2	NA	NA	NA	NA	NA	NA	NA	NA
"9"	"8"	"foreign"	"SF"	"90"	"a"	"2"	2.38	6.46	1.2	118	0	79.8	44.9	1.3	1156	4418	43
"9"	"8"	"foreign"	"SF"	"90"	"a"	"1"	2.38	6.46	1.2	94	0	87.1	44.4	1.4	1133	4098	24
"3"	"8"	"foreign"	"SF"	"30"	"a"	"1"	2.38	6.46	1.2	108	0	54	44.9	0.9	NA	NA	24
"3"	"8"	"foreign"	"SF"	"30"	"a"	"2"	2.38	6.46	1.2	167	0	57.5	34.6	0	NA	NA	42
"3"	"8"	"foreign"	"SF"	"90"	"a"	"1"	2.38	6.46	1.2	NA	NA	NA	NA	NA	1518	5573	NA
"3"	"8"	"foreign"	"SF"	"90"	"a"	"2"	2.38	6.46	1.2	NA	NA	NA	NA	NA	1603	5903	NA
"4"	"8"	"foreign"	"SF"	"30"	"a"	"1"	2.38	6.46	1.2	156	0	71.4	47.8	1.1	NA	NA	81
"4"	"8"	"foreign"	"SF"	"30"	"a"	"2"	2.38	6.46	1.2	132	2	76.6	42.3	1.1	NA	NA	70
"4"	"8"	"foreign"	"SF"	"90"	"a"	"1"	2.38	6.46	1.2	188	0	67.2	44.4	0.7	1117	4587	81
"4"	"8"	"foreign"	"SF"	"90"	"a"	"2"	2.38	6.46	1.2	104	0	71.6	44	1.1	1264	5145	42
"8"	"8"	"own"	"SF"	"30"	"a"	"2"	2.38	6.46	1.2	112	2	57.5	41	1.2	NA	NA	19
"8"	"8"	"own"	"SF"	"30"	"a"	"1"	2.38	6.46	1.2	161	0	86.6	42.7	1.3	NA	NA	27
"8"	"8"	"own"	"SF"	"90"	"a"	"1"	2.38	6.46	1.2	85	0	58.6	33.4	0	1221	4817	26
"8"	"8"	"own"	"SF"	"90"	"a"	"2"	2.38	6.46	1.2	119	0	67.7	40.6	1	1318	4957	26
"5"	"9"	"foreign"	"SF"	"30"	"a"	"1"	2.15	7.26	0.7	NA	NA	NA	NA	NA	NA	NA	NA
"5"	"9"	"foreign"	"SF"	"30"	"a"	"2"	2.15	7.26	0.7	NA	NA	NA	NA	NA	NA	NA	NA
"5"	"9"	"foreign"	"SF"	"90"	"a"	"2"	2.15	7.26	0.7	99	1	72.6	50.4	1	441	2586	40
"5"	"9"	"foreign"	"SF"	"90"	"a"	"1"	2.15	7.26	0.7	101	0	75.4	51.8	1	446	2342	44
"6"	"9"	"foreign"	"SF"	"30"	"a"	"1"	2.15	7.26	0.7	106	0	90.5	43.6	1.1	NA	NA	42
"6"	"9"	"foreign"	"SF"	"30"	"a"	"2"	2.15	7.26	0.7	82	1	95.3	48	1.2	NA	NA	43
"6"	"9"	"foreign"	"SF"	"90"	"a"	"1"	2.15	7.26	0.7	114	0	69.8	49.8	1.1	704	4331	39
"6"	"9"	"foreign"	"SF"	"90"	"a"	"2"	2.15	7.26	0.7	94	0	70.8	42.3	0.6	605	3832	34
"7"	"9"	"foreign"	"SF"	"30"	"a"	"2"	2.15	7.26	0.7	121	0	58.5	43.6	0.4	NA	NA	28
"7"	"9"	"foreign"	"SF"	"30"	"a"	"1"	2.15	7.26	0.7	115	0	68.6	42	1.1	NA	NA	48
"7"	"9"	"foreign"	"SF"	"90"	"a"	"2"	2.15	7.26	0.7	117	0	57.3	36.8	0.3	1053	3867	26
"7"	"9"	"foreign"	"SF"	"90"	"a"	"1"	2.15	7.26	0.7	113	0	61.6	38.7	0	928	3796	27
"1"	"9"	"foreign"	"SF"	"30"	"a"	"2"	2.15	7.26	0.7	65	2	65.8	51.2	1	NA	NA	32
"1"	"9"	"foreign"	"SF"	"30"	"a"	"1"	2.15	7.26	0.7	139	0	84.6	47.9	1.1	NA	NA	71
"1"	"9"	"foreign"	"SF"	"90"	"a"	"2"	2.15	7.26	0.7	106	0	58.3	54.2	0.8	815	4489	41
"1"	"9"	"foreign"	"SF"	"90"	"a"	"1"	2.15	7.26	0.7	95	0	58.4	46.6	0.8	639	3704	29
"2"	"9"	"foreign"	"SF"	"30"	"a"	"2"	2.15	7.26	0.7	132	1	62.2	42	0.8	NA	NA	24
"2"	"9"	"foreign"	"SF"	"30"	"a"	"1"	2.15	7.26	0.7	138	0	76.3	40	0.8	NA	NA	34
"2"	"9"	"foreign"	"SF"	"90"	"a"	"2"	2.15	7.26	0.7	119	0	45.7	35.9	0.2	1238	4140	15
"2"	"9"	"foreign"	"SF"	"90"	"a"	"1"	2.15	7.26	0.7	107	0	53	34.8	0.4	1080	3733	17
"9"	"9"	"own"	"SF"	"30"	"a"	"1"	2.15	7.26	0.7	99	2	86.7	48.4	1.4	NA	NA	43
"9"	"9"	"own"	"SF"	"30"	"a"	"2"	2.15	7.26	0.7	133	0	90.1	55.7	1.2	NA	NA	64
"9"	"9"	"own"	"SF"	"90"	"a"	"2"	2.15	7.26	0.7	78	2	68.4	43	1.2	1095	4665	29
"9"	"9"	"own"	"SF"	"90"	"a"	"1"	2.15	7.26	0.7	86	0	71.6	48.7	1	987	4775	25
"3"	"9"	"foreign"	"SF"	"30"	"a"	"1"	2.15	7.26	0.7	126	0	47.5	37.3	0.4	NA	NA	37
"3"	"9"	"foreign"	"SF"	"30"	"a"	"2"	2.15	7.26	0.7	136	0	48.7	40.6	0.8	NA	NA	33
"3"	"9"	"foreign"	"SF"	"90"	"a"	"2"	2.15	7.26	0.7	123	0	48.2	41.8	0.4	1499	6537	22
"3"	"9"	"foreign"	"SF"	"90"	"a"	"1"	2.15	7.26	0.7	127	0	48.5	44.9	1	1581	6826	23
"4"	"9"	"foreign"	"SF"	"30"	"a"	"1"	2.15	7.26	0.7	127	0	71.7	52.6	0.9	NA	NA	79
"4"	"9"	"foreign"	"SF"	"30"	"a"	"2"	2.15	7.26	0.7	75	1	82.8	58.3	1.1	NA	NA	53
"4"	"9"	"foreign"	"SF"	"90"	"a"	"1"	2.15	7.26	0.7	117	0	56.9	46.4	1	855	3984	47
"4"	"9"	"foreign"	"SF"	"90"	"a"	"2"	2.15	7.26	0.7	106	0	63.7	49.8	0.9	959	4245	51
"8"	"9"	"foreign"	"SF"	"30"	"a"	"1"	2.15	7.26	0.7	110	0	64.8	41.6	1.2	NA	NA	33
"8"	"9"	"foreign"	"SF"	"30"	"a"	"2"	2.15	7.26	0.7	100	0	66.7	42.4	1.2	NA	NA	24
